transaction_id,customer_id,amount,mean_amount,std_amount,amount_zscore,is_unusual_amount,hour_anomaly,velocity_1h,velocity_24h,is_legitimate_unusual,status,scenario_id,claimed_merchant,actual_recipient_identity,identity_similarity_score,is_identity_mismatch,recipient_account_age_days,is_new_recipient,is_merchant_verified
TXN-00253,CUST-022,2145.88,2389.46,702.77,-0.3466,0,0,0,0,0,SUCCESS,SCN-001,Amazon India,Amazon Seller Services Pvt Ltd,0.4286,0,2000,0,1
TXN-00027,CUST-002,469.22,717.35,395.35,-0.6276,0,0,0,0,0,SUCCESS,SCN-001,Amazon India,Amazon Seller Services Pvt Ltd,0.4286,0,2000,0,1
TXN-00051,CUST-005,2219.73,2245.35,338.18,-0.0758,0,1,0,0,0,SUCCESS,SCN-001,BESCOM Electricity,Bangalore Electricity Supply Company Ltd,0.4828,0,1800,0,1
TXN-00148,CUST-014,981.77,1448.64,792.67,-0.589,0,1,0,0,0,SUCCESS,SCN-001,BESCOM Electricity,Bangalore Electricity Supply Company Ltd,0.4828,0,1800,0,1
TXN-00246,CUST-022,1916.24,2389.46,702.77,-0.6734,0,1,0,1,0,SUCCESS,SCN-001,BESCOM Electricity,Bangalore Electricity Supply Company Ltd,0.4828,0,1800,0,1
TXN-00554,CUST-048,2941.75,2815.92,694.09,0.1813,0,1,0,0,0,SUCCESS,SCN-001,BESCOM Electricity,Bangalore Electricity Supply Company Ltd,0.4828,0,1800,0,1
TXN-00463,CUST-040,1187.34,1196.19,439.79,-0.0201,0,0,0,0,0,SUCCESS,SCN-001,Amazon India,Amazon Seller Services Pvt Ltd,0.4286,0,2000,0,1
TXN-00310,CUST-027,2126.01,2404.91,455.38,-0.6125,0,0,0,0,0,SUCCESS,SCN-001,Amazon India,Amazon Seller Services Pvt Ltd,0.4286,0,2000,0,1
TXN-00477,CUST-042,600.99,735.81,561.29,-0.2402,0,0,0,0,0,SUCCESS,SCN-001,Amazon India,Amazon Seller Services Pvt Ltd,0.4286,0,2000,0,1
TXN-00523,CUST-045,1059.72,978.98,475.4,0.1698,0,1,0,0,0,SUCCESS,SCN-001,Amazon India,Amazon Seller Services Pvt Ltd,0.4286,0,2000,0,1
TXN-00129,CUST-012,1728.07,1425.45,246.65,1.2269,0,1,0,0,0,SUCCESS,SCN-001,Amazon India,Amazon Seller Services Pvt Ltd,0.4286,0,2000,0,1
TXN-00438,CUST-038,1793.43,517.98,595.49,2.1418,0,1,0,0,0,SUCCESS,SCN-001,Amazon India,Amazon Seller Services Pvt Ltd,0.4286,0,2000,0,1
TXN-00222,CUST-020,2663.68,2367.53,399.9,0.7406,0,1,0,0,0,SUCCESS,SCN-001,Amazon India,Amazon Seller Services Pvt Ltd,0.4286,0,2000,0,1
TXN-00286,CUST-025,2430.91,2377.19,638.02,0.0842,0,1,0,0,0,SUCCESS,SCN-001,BESCOM Electricity,Bangalore Electricity Supply Company Ltd,0.4828,0,1800,0,1
TXN-00471,CUST-041,1742.37,1940.53,270.1,-0.7337,0,1,0,0,0,SUCCESS,SCN-001,BESCOM Electricity,Bangalore Electricity Supply Company Ltd,0.4828,0,1800,0,1
TXN-00128,CUST-012,1047.55,1425.45,246.65,-1.5321,0,1,0,1,0,SUCCESS,SCN-001,BESCOM Electricity,Bangalore Electricity Supply Company Ltd,0.4828,0,1800,0,1
TXN-00033,CUST-003,685.35,1081.65,521.41,-0.7601,0,1,0,0,0,SUCCESS,SCN-001,BESCOM Electricity,Bangalore Electricity Supply Company Ltd,0.4828,0,1800,0,1
