label,message
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app.
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks!"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited."
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491.
ham,Meeting rescheduled to 4 PM today. Let me know if that works.
ham,Your OTP for login is 482910. Do not share it with anyone.
ham,Payment of Rs 450 received from Amit Sharma via Razorpay.
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM.
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App.
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken."
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel.
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant.
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds."
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment."
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10000]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10000]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10000]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10000]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10000]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10000]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10000]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10000]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10000]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10000]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10001]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10001]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10001]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10001]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10001]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10001]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10001]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10001]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10001]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10001]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10010]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10010]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10010]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10010]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10010]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10010]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10010]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10010]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10010]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10010]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10011]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10011]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10011]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10011]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10011]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10011]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10011]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10011]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10011]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10011]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10020]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10020]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10020]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10020]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10020]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10020]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10020]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10020]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10020]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10020]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10021]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10021]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10021]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10021]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10021]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10021]"
